17 May 21:48:14,689 INFO - Log4j Properties configured.... 
17 May 21:48:15,966 INFO - Excel Properties configured.... 
17 May 21:48:15,967 INFO - Seelcted Browser is : chrome 
17 May 21:48:15,967 INFO - Seelcted Browser mode is : head 
17 May 21:48:28,332 INFO - Browser Maximized 
17 May 21:48:28,334 INFO - Seelcted Environment is qa 
17 May 21:48:28,335 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
17 May 21:48:30,069 INFO - Clearing on object locator : By.name: firstName 
17 May 21:48:30,352 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
17 May 21:48:30,504 INFO - Clearing on object locator : By.name: lastName 
17 May 21:48:30,773 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
17 May 21:48:30,954 INFO - Clearing on object locator : By.name: phone 
17 May 21:48:31,200 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
17 May 21:48:31,407 INFO - Clearing on object locator : By.name: userName 
17 May 21:48:31,790 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
17 May 21:48:31,972 INFO - Clearing on object locator : By.name: address1 
17 May 21:48:32,183 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
17 May 21:48:32,387 INFO - Clearing on object locator : By.name: city 
17 May 21:48:32,586 INFO - Sending data to the object locator : By.name: cityData is : HYD 
17 May 21:48:32,749 INFO - Clearing on object locator : By.name: postalCode 
17 May 21:48:32,945 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
17 May 21:48:33,510 INFO - Clearing on object locator : By.name: email 
17 May 21:48:33,832 INFO - Sending data to the object locator : By.name: emailData is : sachintt 
17 May 21:48:34,059 INFO - Clearing on object locator : By.name: password 
17 May 21:48:34,515 INFO - Sending data to the object locator : By.name: passwordData is : Test@1234 
17 May 21:48:34,747 INFO - Clearing on object locator : By.name: confirmPassword 
17 May 21:48:35,014 INFO - Sending data to the object locator : By.name: confirmPasswordData is : Test@1234 
17 May 21:48:36,867 INFO - Clicking on object locator : By.name: register 
17 May 21:48:37,100 INFO - Closing Browser 
17 May 21:49:27,263 INFO - Log4j Properties configured.... 
17 May 21:49:28,424 INFO - Excel Properties configured.... 
17 May 21:49:28,425 INFO - Seelcted Browser is : chrome 
17 May 21:49:28,425 INFO - Seelcted Browser mode is : head 
17 May 21:49:40,058 INFO - Browser Maximized 
17 May 21:49:40,059 INFO - Seelcted Environment is qa 
17 May 21:49:40,060 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
17 May 21:49:41,778 INFO - Clearing on object locator : By.name: firstName 
17 May 21:49:42,051 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
17 May 21:49:42,202 INFO - Clearing on object locator : By.name: lastName 
17 May 21:49:42,433 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
17 May 21:49:42,595 INFO - Clearing on object locator : By.name: phone 
17 May 21:49:42,891 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
17 May 21:49:43,030 INFO - Clearing on object locator : By.name: userName 
17 May 21:49:43,396 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
17 May 21:49:43,577 INFO - Clearing on object locator : By.name: address1 
17 May 21:49:43,773 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
17 May 21:49:43,949 INFO - Clearing on object locator : By.name: city 
17 May 21:49:44,144 INFO - Sending data to the object locator : By.name: cityData is : HYD 
17 May 21:49:44,307 INFO - Clearing on object locator : By.name: postalCode 
17 May 21:49:44,526 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
17 May 21:50:15,593 INFO - Closing Browser 
17 May 21:53:44,652 INFO - Log4j Properties configured.... 
17 May 21:53:45,781 INFO - Excel Properties configured.... 
17 May 21:53:45,781 INFO - Seelcted Browser is : chrome 
17 May 21:53:45,782 INFO - Seelcted Browser mode is : head 
17 May 21:53:57,428 INFO - Browser Maximized 
17 May 21:53:57,429 INFO - Seelcted Environment is qa 
17 May 21:53:57,429 INFO - Seelcted Environment url is http://newtours.demoaut.com/mercuryregister.php 
17 May 21:54:00,650 INFO - Clearing on object locator : By.name: firstName 
17 May 21:54:00,923 INFO - Sending data to the object locator : By.name: firstNameData is : Sachin 
17 May 21:54:01,079 INFO - Clearing on object locator : By.name: lastName 
17 May 21:54:01,397 INFO - Sending data to the object locator : By.name: lastNameData is : Tendulkar 
17 May 21:54:01,568 INFO - Clearing on object locator : By.name: phone 
17 May 21:54:01,803 INFO - Sending data to the object locator : By.name: phoneData is : 7896541230 
17 May 21:54:01,958 INFO - Clearing on object locator : By.name: userName 
17 May 21:54:02,349 INFO - Sending data to the object locator : By.name: userNameData is : Sachin78965@gmail.com 
17 May 21:54:02,487 INFO - Clearing on object locator : By.name: address1 
17 May 21:54:02,656 INFO - Sending data to the object locator : By.name: address1Data is : HYD 
17 May 21:54:02,808 INFO - Clearing on object locator : By.name: city 
17 May 21:54:02,981 INFO - Sending data to the object locator : By.name: cityData is : HYD 
17 May 21:54:03,131 INFO - Clearing on object locator : By.name: postalCode 
17 May 21:54:03,349 INFO - Sending data to the object locator : By.name: postalCodeData is : 500090 
